subject,Cerebral-WM-L,Cerebral-Ctx-L,Lat-Ventricle-L,Cereb-WM-L,Cereb-Ctx-L,Thalamus-L,Caudate-L,Putamen-L,Pallidum-L,3rd-Ventricle,4th-Ventricle,Brain-Stem,Hippocampus-L,Amygdala-L,CSF,VentralDC-L,Choroid-Plexus-L,Cerebral-WM-R,Cerebral-Ctx-R,Lat-Ventricle-R,Cereb-WM-R,Cereb-Ctx-R,Thalamus-R,Caudate-R,Putamen-R,Pallidum-R,Hippocampus-R,Amygdala-R,VentralDC-R,Choroid-Plexus-R
OASIS_OAS1_0161_MR1,0.719820,0.557034,0.790022,0.767339,0.825122,0.864626,0.531583,0.807179,0.776052,0.728961,0.545547,0.913665,0.714639,0.800648,0.000000,0.771699,0.310473,0.727508,0.558778,0.738372,0.752127,0.820560,0.873610,0.389785,0.765485,0.715374,0.772304,0.777516,0.775714,0.357220
OASIS_OAS1_0170_MR1,0.698204,0.530577,0.621929,0.690975,0.764090,0.785935,0.525045,0.620013,0.622182,0.672015,0.616441,0.849393,0.670591,0.587588,0.000000,0.700149,0.066356,0.720925,0.543614,0.718668,0.761462,0.777941,0.864937,0.573556,0.735984,0.688647,0.726790,0.797136,0.786098,0.172830
OASIS_OAS1_0230_MR1,0.727750,0.575877,0.779440,0.734955,0.836370,0.866436,0.720898,0.770789,0.772813,0.642886,0.447368,0.842317,0.761331,0.714361,0.000000,0.783454,0.407104,0.721182,0.572455,0.742293,0.746724,0.848007,0.801395,0.750786,0.753290,0.718819,0.705055,0.716061,0.766035,0.257742
OASIS_OAS1_0238_MR1,0.719635,0.544203,0.802994,0.722647,0.835039,0.828112,0.625829,0.770417,0.701070,0.666667,0.694969,0.886766,0.747341,0.583333,0.000000,0.754805,0.269012,0.729220,0.568508,0.704390,0.757909,0.823594,0.790499,0.552349,0.700392,0.571275,0.641174,0.649956,0.711152,0.210570
OASIS_OAS1_0259_MR1,0.721057,0.565613,0.815002,0.793216,0.836757,0.862596,0.728677,0.722150,0.721043,0.712222,0.672682,0.904139,0.599541,0.734079,0.000000,0.766083,0.241192,0.739602,0.586807,0.813048,0.811740,0.858741,0.887650,0.806530,0.821700,0.806102,0.673680,0.707609,0.835438,0.287120
OASIS_OAS1_0270_MR1,0.703031,0.534028,0.711277,0.760391,0.796266,0.773085,0.504659,0.562167,0.574708,0.538526,0.621193,0.856439,0.621741,0.581946,0.000000,0.682821,0.173776,0.728962,0.566579,0.764959,0.716545,0.795428,0.855335,0.670657,0.694769,0.650341,0.759346,0.685026,0.721071,0.394109
OASIS_OAS1_0272_MR1,0.723486,0.569550,0.738621,0.726337,0.813001,0.883019,0.692714,0.737054,0.748287,0.767643,0.649284,0.884565,0.661403,0.650675,0.000000,0.800318,0.231371,0.736153,0.588122,0.721674,0.700394,0.788163,0.870823,0.649031,0.703019,0.632090,0.702988,0.689492,0.789380,0.291360
OASIS_OAS1_0273_MR1,0.706194,0.522178,0.743120,0.714299,0.754049,0.795529,0.679932,0.761905,0.579952,0.566610,0.584437,0.845343,0.700494,0.637168,0.000000,0.668391,0.410347,0.708976,0.531377,0.720778,0.771837,0.802055,0.806731,0.687083,0.769399,0.638978,0.593381,0.607911,0.609720,0.376702
OASIS_OAS1_0274_MR1,0.715852,0.583998,0.712393,0.754910,0.827593,0.764041,0.664117,0.720012,0.642197,0.643332,0.694951,0.870245,0.652454,0.731166,0.000000,0.723266,0.062327,0.719499,0.589581,0.766199,0.764119,0.840093,0.748383,0.777717,0.786293,0.672838,0.743947,0.667892,0.659084,0.205980
OASIS_OAS1_0277_MR1,0.716026,0.577056,0.681384,0.734413,0.825310,0.818743,0.736908,0.810702,0.775813,0.626753,0.677624,0.896594,0.724715,0.544865,0.000000,0.760849,0.376103,0.726322,0.577577,0.774741,0.780292,0.861781,0.854433,0.790407,0.809782,0.784585,0.728619,0.539821,0.752177,0.243613
OASIS_OAS1_0278_MR1,0.722119,0.536146,0.771103,0.778603,0.808614,0.877136,0.599534,0.798266,0.804843,0.735818,0.782019,0.890595,0.666667,0.735954,0.000000,0.777376,0.363018,0.723929,0.550643,0.687986,0.826907,0.829650,0.869418,0.442285,0.755105,0.692045,0.604058,0.562663,0.752809,0.326643
OASIS_OAS1_0279_MR1,0.709302,0.553602,0.785110,0.772113,0.836903,0.847620,0.709188,0.720051,0.663639,0.716363,0.697704,0.853723,0.705119,0.716234,0.000000,0.629294,0.317460,0.718880,0.572766,0.716361,0.744329,0.825555,0.840317,0.573996,0.685210,0.670625,0.719063,0.717862,0.717853,0.285609
OASIS_OAS1_0295_MR1,0.710224,0.567729,0.703371,0.751580,0.831681,0.842081,0.639362,0.783678,0.747355,0.709272,0.689314,0.890899,0.748565,0.778869,0.000000,0.801455,0.407752,0.731951,0.582015,0.747330,0.801902,0.865545,0.838492,0.810250,0.813562,0.789726,0.622563,0.690633,0.800111,0.314835
OASIS_OAS1_0298_MR1,0.715318,0.542534,0.806937,0.708177,0.788394,0.829146,0.623624,0.742704,0.754083,0.687095,0.759414,0.865284,0.755674,0.780018,0.000000,0.765319,0.411548,0.730857,0.569840,0.814495,0.771660,0.837182,0.873259,0.781021,0.842212,0.804659,0.770575,0.765925,0.754246,0.270361
OASIS_OAS1_0309_MR1,0.724410,0.558850,0.828345,0.738354,0.818099,0.878908,0.806831,0.828866,0.854599,0.741774,0.576443,0.865942,0.736761,0.790161,0.000000,0.808654,0.437995,0.726879,0.557100,0.793694,0.769958,0.839851,0.825368,0.845928,0.817595,0.826261,0.747259,0.734684,0.791310,0.395120
OASIS_OAS1_0312_MR1,0.729138,0.563396,0.828377,0.720857,0.814317,0.891255,0.754757,0.765077,0.772586,0.805574,0.615858,0.897307,0.763904,0.765033,0.000000,0.815840,0.438854,0.741731,0.587498,0.792273,0.742888,0.820620,0.894676,0.817092,0.868195,0.815481,0.774954,0.774241,0.800150,0.431429
OASIS_OAS1_0323_MR1,0.709398,0.571990,0.655785,0.751590,0.793759,0.842048,0.675652,0.806083,0.836720,0.714137,0.605931,0.901048,0.591825,0.683574,0.000000,0.810609,0.108148,0.720007,0.573430,0.721960,0.741668,0.799530,0.869298,0.833061,0.785198,0.825813,0.673329,0.635280,0.794219,0.185804
OASIS_OAS1_0325_MR1,0.701348,0.574956,0.554792,0.732274,0.834310,0.835948,0.607330,0.724987,0.692194,0.633381,0.734394,0.887889,0.757804,0.768672,0.000000,0.745129,0.308642,0.709797,0.583869,0.585091,0.779250,0.849042,0.854780,0.724904,0.806339,0.794125,0.714645,0.714220,0.759530,0.244076
OASIS_OAS1_0337_MR1,0.719723,0.508415,0.700085,0.682793,0.757378,0.876403,0.594638,0.813847,0.806795,0.680533,0.512952,0.872942,0.732871,0.733985,0.000000,0.735925,0.234169,0.722417,0.510733,0.717447,0.778344,0.813314,0.870847,0.625588,0.801317,0.748405,0.663059,0.605601,0.745210,0.330301
OASIS_OAS1_0339_MR1,0.685203,0.501107,0.618115,0.750918,0.812727,0.730385,0.258687,0.637757,0.549781,0.606434,0.602831,0.894791,0.569284,0.578116,0.000000,0.696270,0.061069,0.717744,0.539696,0.579137,0.743047,0.802375,0.755198,0.177550,0.663534,0.570784,0.737884,0.633584,0.772399,0.110172
OASIS_OAS1_0355_MR1,0.733307,0.589925,0.794173,0.739180,0.800062,0.882081,0.756466,0.819360,0.803248,0.735135,0.610843,0.880087,0.734745,0.756814,0.000000,0.782226,0.345066,0.737170,0.596718,0.794609,0.751580,0.804258,0.835262,0.805734,0.847925,0.794839,0.753161,0.719194,0.765338,0.362224
OASIS_OAS1_0358_MR1,0.713465,0.577677,0.803067,0.606394,0.749514,0.871463,0.678990,0.750390,0.790909,0.642760,0.497157,0.869313,0.740112,0.745991,0.000000,0.766159,0.374373,0.728997,0.598803,0.799767,0.622607,0.759402,0.859947,0.786077,0.845716,0.844298,0.759877,0.783414,0.748419,0.291246
OASIS_OAS1_0377_MR1,0.694635,0.540132,0.703978,0.681386,0.775136,0.740689,0.656988,0.677905,0.536528,0.566841,0.641311,0.819476,0.674976,0.704451,0.000000,0.682285,0.146341,0.709105,0.553635,0.715268,0.711826,0.796895,0.757306,0.687855,0.734772,0.622975,0.698296,0.748697,0.690233,0.350896
OASIS_OAS1_0382_MR1,0.658057,0.509643,0.468525,0.754369,0.809915,0.808067,0.633912,0.534005,0.564235,0.716798,0.595776,0.896221,0.544166,0.536274,0.000000,0.726946,0.192860,0.695949,0.546055,0.579837,0.666778,0.750725,0.857488,0.571489,0.496077,0.493815,0.657700,0.551320,0.752094,0.271157
OASIS_OAS1_0395_MR1,0.690751,0.557976,0.529919,0.621513,0.727259,0.720109,0.572965,0.714072,0.621833,0.469468,0.462211,0.829592,0.693615,0.565849,0.000000,0.706438,0.171598,0.690323,0.570077,0.568278,0.627404,0.763956,0.841258,0.686993,0.708826,0.739625,0.672293,0.468779,0.691311,0.054280
OASIS_OAS1_0403_MR1,0.720385,0.587671,0.624374,0.753526,0.811346,0.828529,0.717131,0.771752,0.665276,0.637370,0.757956,0.899174,0.762519,0.722923,0.000000,0.759875,0.433333,0.725544,0.589150,0.640549,0.752562,0.823044,0.802746,0.791072,0.777966,0.699851,0.785259,0.721432,0.752609,0.260916
OASIS_OAS1_0408_MR1,0.713212,0.579902,0.634342,0.721770,0.810628,0.806208,0.709589,0.793912,0.718909,0.642438,0.591345,0.890815,0.770114,0.738945,0.000000,0.787386,0.361371,0.727460,0.587247,0.698370,0.789134,0.856060,0.783925,0.728356,0.804859,0.732850,0.771799,0.726211,0.772496,0.366446
OASIS_OAS1_0429_MR1,0.705614,0.536818,0.813354,0.739403,0.828741,0.849057,0.744405,0.780350,0.733863,0.632454,0.723478,0.906218,0.675139,0.619073,0.000000,0.776240,0.438338,0.718416,0.550288,0.768204,0.703983,0.828770,0.822516,0.794233,0.801592,0.775281,0.684427,0.611412,0.754050,0.306322
OASIS_OAS1_0438_MR1,0.726942,0.568193,0.820519,0.756875,0.834538,0.855641,0.804434,0.843282,0.831471,0.734328,0.788558,0.909110,0.744062,0.708414,0.000000,0.819069,0.421392,0.738042,0.589513,0.826436,0.718753,0.832716,0.879520,0.795571,0.789211,0.765916,0.697220,0.730026,0.807248,0.337793
OASIS_OAS1_0444_MR1,0.716705,0.562296,0.732339,0.727493,0.805250,0.794987,0.728706,0.771847,0.731864,0.525201,0.464558,0.825186,0.703855,0.491088,0.000000,0.766355,0.253855,0.729002,0.580019,0.745758,0.770059,0.856729,0.767306,0.737338,0.765757,0.725100,0.705426,0.607337,0.746035,0.266257
MEAN,0.709845,0.552301,0.719159,0.735065,0.808704,0.827430,0.663429,0.751854,0.718699,0.658508,0.642106,0.874282,0.702506,0.687031,0.000000,0.744848,0.281959,0.721154,0.565823,0.713997,0.751448,0.823632,0.827490,0.666834,0.763292,0.717723,0.704060,0.682101,0.746687,0.274813
STD,0.015492,0.023594,0.095795,0.036679,0.026871,0.046250,0.105924,0.070003,0.090294,0.073785,0.099680,0.025285,0.058962,0.088949,0.000000,0.057151,0.119309,0.013774,0.023213,0.082599,0.046119,0.029978,0.042744,0.168174,0.079300,0.090732,0.051912,0.078827,0.048146,0.086848
