subject,Cerebral-WM-L,Cerebral-Ctx-L,Lat-Ventricle-L,Cereb-WM-L,Cereb-Ctx-L,Thalamus-L,Caudate-L,Putamen-L,Pallidum-L,3rd-Ventricle,4th-Ventricle,Brain-Stem,Hippocampus-L,Amygdala-L,CSF,VentralDC-L,Choroid-Plexus-L,Cerebral-WM-R,Cerebral-Ctx-R,Lat-Ventricle-R,Cereb-WM-R,Cereb-Ctx-R,Thalamus-R,Caudate-R,Putamen-R,Pallidum-R,Hippocampus-R,Amygdala-R,VentralDC-R,Choroid-Plexus-R
OASIS_OAS1_0003_MR1,0.703436,0.543762,0.747477,0.735004,0.814377,0.835078,0.609558,0.814834,0.755867,0.699042,0.666667,0.861767,0.615437,0.527097,0.000000,0.681444,0.169691,0.707777,0.549943,0.720849,0.708033,0.824704,0.857911,0.612630,0.795864,0.780699,0.563266,0.527907,0.753559,0.242618
OASIS_OAS1_0011_MR1,0.719422,0.579085,0.826237,0.735815,0.840329,0.851633,0.778796,0.830847,0.828073,0.588713,0.739866,0.889679,0.753607,0.781349,0.000000,0.797729,0.378613,0.737714,0.592272,0.782440,0.803910,0.852607,0.826523,0.767893,0.835295,0.856302,0.716508,0.786748,0.781439,0.284000
OASIS_OAS1_0013_MR1,0.698171,0.519041,0.605823,0.771857,0.811618,0.838048,0.581076,0.794557,0.738511,0.656390,0.737991,0.876260,0.757371,0.858696,0.000000,0.788858,0.082474,0.706935,0.535668,0.527352,0.812862,0.831987,0.759823,0.230513,0.697647,0.583871,0.740787,0.819323,0.765315,0.084947
OASIS_OAS1_0045_MR1,0.698165,0.551518,0.587001,0.761468,0.809525,0.774168,0.636859,0.736858,0.688819,0.638237,0.794624,0.873746,0.770617,0.620690,0.000000,0.757043,0.152594,0.708622,0.564077,0.692182,0.801364,0.833139,0.771998,0.717584,0.773153,0.705211,0.701266,0.635964,0.721572,0.265815
OASIS_OAS1_0047_MR1,0.699278,0.540327,0.779051,0.735530,0.812153,0.821728,0.789177,0.790430,0.789346,0.740299,0.683266,0.862073,0.625796,0.595377,0.000000,0.718898,0.230164,0.733516,0.582690,0.800381,0.764505,0.834291,0.807051,0.814840,0.828191,0.754497,0.689983,0.690540,0.754381,0.173955
OASIS_OAS1_0050_MR1,0.720404,0.566813,0.753912,0.734360,0.828289,0.866163,0.754837,0.732174,0.800725,0.585987,0.653617,0.885238,0.755501,0.687255,0.000000,0.795685,0.391825,0.723801,0.579846,0.695012,0.784767,0.854185,0.800769,0.790059,0.824225,0.828812,0.759916,0.702573,0.771058,0.323602
OASIS_OAS1_0060_MR1,0.737696,0.548485,0.834066,0.774096,0.803967,0.868828,0.748801,0.793424,0.747975,0.719075,0.679936,0.893241,0.735469,0.714970,0.000000,0.740170,0.419662,0.730780,0.552479,0.760804,0.791604,0.859877,0.807695,0.542236,0.754585,0.699517,0.687740,0.642800,0.676093,0.415893
OASIS_OAS1_0073_MR1,0.690028,0.497444,0.606588,0.749689,0.786691,0.771407,0.557896,0.665768,0.608283,0.525673,0.726523,0.821546,0.697522,0.641809,0.000000,0.521376,0.250000,0.687355,0.491325,0.449236,0.710231,0.778811,0.779837,0.221674,0.482891,0.489576,0.672830,0.700496,0.598725,0.248712
OASIS_OAS1_0117_MR1,0.691651,0.541771,0.739585,0.728636,0.820179,0.833490,0.787579,0.829522,0.824713,0.647443,0.348420,0.827131,0.740347,0.801821,0.000000,0.703439,0.148588,0.689141,0.546862,0.664751,0.698945,0.817862,0.850120,0.741853,0.825405,0.788053,0.641330,0.752082,0.770955,0.137705
OASIS_OAS1_0150_MR1,0.682565,0.560971,0.578170,0.747878,0.824952,0.733589,0.500614,0.679712,0.527946,0.573267,0.681694,0.885281,0.730288,0.769511,0.000000,0.754297,0.238134,0.706403,0.580177,0.678831,0.808927,0.876460,0.744651,0.715987,0.791471,0.670306,0.730566,0.693967,0.721421,0.198131
OASIS_OAS1_0155_MR1,0.712515,0.546056,0.854813,0.774678,0.842606,0.880627,0.771838,0.797302,0.761572,0.725899,0.699213,0.874500,0.694770,0.683443,0.000000,0.709147,0.323353,0.732716,0.550909,0.744066,0.746423,0.833423,0.867989,0.520632,0.735165,0.658268,0.702137,0.672827,0.726098,0.332829
