subject,Cerebral-WM-L,Cerebral-Ctx-L,Lat-Ventricle-L,Cereb-WM-L,Cereb-Ctx-L,Thalamus-L,Caudate-L,Putamen-L,Pallidum-L,3rd-Ventricle,4th-Ventricle,Brain-Stem,Hippocampus-L,Amygdala-L,CSF,VentralDC-L,Choroid-Plexus-L,Cerebral-WM-R,Cerebral-Ctx-R,Lat-Ventricle-R,Cereb-WM-R,Cereb-Ctx-R,Thalamus-R,Caudate-R,Putamen-R,Pallidum-R,Hippocampus-R,Amygdala-R,VentralDC-R,Choroid-Plexus-R
OASIS_OAS1_0155_MR1,0.660555,0.497537,0.714764,0.746962,0.808272,0.858064,0.569259,0.768071,0.697827,0.626937,0.726895,0.850158,0.701252,0.638912,0.000000,0.710000,0.277839,0.650889,0.449141,0.545552,0.750352,0.831819,0.822538,0.259952,0.758227,0.686662,0.656189,0.623836,0.671742,0.256006
OASIS_OAS1_0161_MR1,0.647874,0.488207,0.622963,0.740678,0.789901,0.755118,0.188262,0.696332,0.519868,0.550119,0.579914,0.851318,0.610627,0.689449,0.000000,0.582625,0.204986,0.648185,0.448066,0.582418,0.707419,0.761637,0.777945,0.144962,0.749120,0.583289,0.664479,0.638627,0.608481,0.281671
OASIS_OAS1_0170_MR1,0.625856,0.472913,0.487746,0.674528,0.728654,0.675854,0.178619,0.545563,0.409894,0.553801,0.537357,0.807768,0.691010,0.653778,0.000000,0.644714,0.021811,0.648235,0.437280,0.549233,0.713146,0.720890,0.795546,0.231224,0.732097,0.678225,0.697862,0.805435,0.682551,0.178453
OASIS_OAS1_0230_MR1,0.686464,0.535682,0.723416,0.726735,0.829356,0.845968,0.713165,0.809386,0.756441,0.551343,0.458498,0.831344,0.781346,0.684129,0.000000,0.737403,0.334204,0.667394,0.479397,0.676170,0.710442,0.826651,0.760137,0.769046,0.721929,0.657863,0.750362,0.692405,0.689250,0.237822
OASIS_OAS1_0238_MR1,0.670222,0.490665,0.654653,0.701618,0.823181,0.723766,0.235613,0.647804,0.446499,0.503583,0.725348,0.822860,0.675766,0.479046,0.000000,0.533149,0.188859,0.655484,0.459930,0.613732,0.663562,0.767639,0.683175,0.255847,0.623182,0.386164,0.467781,0.512531,0.525029,0.123842
OASIS_OAS1_0259_MR1,0.669836,0.516911,0.726253,0.771893,0.827111,0.834659,0.518044,0.683628,0.582482,0.618474,0.654847,0.866005,0.603885,0.675123,0.000000,0.701497,0.215241,0.672655,0.473241,0.702748,0.721641,0.819645,0.839008,0.667424,0.831943,0.740924,0.758174,0.742013,0.732196,0.290349
OASIS_OAS1_0270_MR1,0.640222,0.481475,0.613189,0.688034,0.725282,0.733371,0.402550,0.526940,0.459127,0.418743,0.477116,0.773547,0.548096,0.538969,0.000000,0.607758,0.197107,0.645054,0.458918,0.612369,0.599406,0.717911,0.821735,0.471260,0.760271,0.799321,0.743034,0.736951,0.683071,0.278358
OASIS_OAS1_0272_MR1,0.650505,0.502703,0.577829,0.688521,0.757895,0.829567,0.627950,0.732557,0.603588,0.637941,0.518129,0.854717,0.556919,0.635057,0.000000,0.698027,0.157250,0.662787,0.481402,0.565047,0.653859,0.716786,0.822330,0.409719,0.763152,0.697872,0.590567,0.647946,0.660517,0.209785
OASIS_OAS1_0273_MR1,0.635764,0.463409,0.588901,0.714117,0.714887,0.782209,0.514450,0.788372,0.629360,0.466165,0.562427,0.797010,0.669008,0.509894,0.000000,0.671238,0.249345,0.627537,0.411421,0.548802,0.722187,0.741541,0.767864,0.537732,0.804478,0.746437,0.504426,0.572394,0.624937,0.182219
OASIS_OAS1_0274_MR1,0.677338,0.537161,0.661680,0.744072,0.803071,0.742582,0.657312,0.750659,0.669524,0.549901,0.726473,0.799258,0.711268,0.701532,0.000000,0.681350,0.046723,0.655547,0.501871,0.636356,0.676072,0.770625,0.687313,0.715874,0.729717,0.592922,0.721795,0.621230,0.612168,0.100243
OASIS_OAS1_0277_MR1,0.661079,0.527861,0.644548,0.734205,0.789720,0.789197,0.714925,0.817280,0.733618,0.577409,0.705162,0.855179,0.684113,0.499047,0.000000,0.702879,0.261155,0.660916,0.477535,0.704186,0.751606,0.823981,0.810698,0.721007,0.782958,0.677335,0.659046,0.484970,0.669964,0.203763
OASIS_OAS1_0278_MR1,0.640992,0.464841,0.603743,0.745662,0.759698,0.805712,0.285253,0.709881,0.608673,0.581733,0.685725,0.835503,0.510259,0.634763,0.000000,0.639015,0.256972,0.651957,0.436747,0.531686,0.741925,0.754104,0.784589,0.186931,0.713643,0.547337,0.417800,0.394381,0.581815,0.282544
OASIS_OAS1_0279_MR1,0.647756,0.497494,0.666579,0.790482,0.835599,0.808441,0.471599,0.725964,0.654244,0.598039,0.701618,0.825180,0.654019,0.676849,0.000000,0.623662,0.169611,0.648387,0.463301,0.562824,0.735947,0.792401,0.801492,0.257909,0.735619,0.731130,0.727995,0.717105,0.702852,0.202532
OASIS_OAS1_0295_MR1,0.648484,0.515501,0.589874,0.719574,0.810707,0.810636,0.665112,0.790048,0.696826,0.620288,0.644930,0.857746,0.809004,0.767542,0.000000,0.738077,0.271528,0.665350,0.484458,0.657887,0.761797,0.828665,0.790017,0.788282,0.788751,0.714016,0.713028,0.713563,0.718178,0.225480
OASIS_OAS1_0298_MR1,0.636634,0.475224,0.646043,0.690313,0.753375,0.780398,0.217861,0.655350,0.524721,0.592414,0.720735,0.808295,0.650945,0.655046,0.000000,0.701782,0.313034,0.658478,0.468816,0.665295,0.638623,0.762005,0.824719,0.564049,0.807774,0.691663,0.705367,0.659622,0.701908,0.288296
OASIS_OAS1_0309_MR1,0.652904,0.490894,0.704785,0.745710,0.811654,0.841715,0.686517,0.817703,0.699554,0.607969,0.612476,0.852765,0.710764,0.732916,0.000000,0.682702,0.351662,0.656398,0.451403,0.719514,0.798449,0.821638,0.771878,0.689744,0.714039,0.621159,0.731563,0.644035,0.661293,0.419841
OASIS_OAS1_0312_MR1,0.665165,0.489277,0.735925,0.704003,0.786115,0.873114,0.727869,0.811803,0.793270,0.678899,0.588456,0.856973,0.738372,0.793085,0.000000,0.771751,0.321932,0.680051,0.490196,0.688737,0.622354,0.742354,0.844534,0.704676,0.839841,0.757323,0.739031,0.680225,0.681042,0.391360
OASIS_OAS1_0323_MR1,0.662646,0.519035,0.623492,0.697506,0.762736,0.821823,0.714936,0.818488,0.740269,0.625881,0.496508,0.843545,0.580317,0.686187,0.000000,0.743415,0.071582,0.671563,0.493227,0.625037,0.682009,0.748625,0.833473,0.716866,0.815666,0.749720,0.672802,0.639667,0.660550,0.127031
OASIS_OAS1_0325_MR1,0.654756,0.524093,0.533539,0.690724,0.791543,0.805575,0.680786,0.731021,0.625154,0.496684,0.643032,0.840185,0.666240,0.679968,0.000000,0.598036,0.279111,0.648935,0.480630,0.568489,0.663808,0.780048,0.791025,0.700792,0.678782,0.560497,0.704328,0.622115,0.586243,0.370766
OASIS_OAS1_0337_MR1,0.642899,0.435481,0.527917,0.699419,0.719224,0.805648,0.216248,0.712798,0.563396,0.592417,0.549858,0.809355,0.707699,0.598886,0.000000,0.661938,0.140307,0.644001,0.395181,0.534830,0.763447,0.760625,0.798804,0.285678,0.752363,0.684783,0.718702,0.512566,0.688231,0.287084
OASIS_OAS1_0339_MR1,0.599739,0.446611,0.439551,0.695544,0.772010,0.534448,0.061507,0.486423,0.265515,0.459411,0.469037,0.835967,0.441543,0.559666,0.000000,0.500102,0.015343,0.610061,0.421117,0.416251,0.718576,0.773430,0.655990,0.089361,0.654934,0.544890,0.631716,0.671257,0.609835,0.053763
OASIS_OAS1_0355_MR1,0.670654,0.521768,0.701960,0.695299,0.741879,0.850401,0.726857,0.820080,0.724645,0.629764,0.469997,0.813935,0.682961,0.698894,0.000000,0.727168,0.166857,0.673930,0.503304,0.684086,0.629761,0.723068,0.784296,0.682178,0.820319,0.741573,0.678709,0.716026,0.714891,0.262705
OASIS_OAS1_0358_MR1,0.648662,0.510547,0.669985,0.551664,0.680452,0.793222,0.354544,0.690147,0.595663,0.466054,0.375860,0.785630,0.576827,0.643443,0.000000,0.568405,0.185245,0.668494,0.515102,0.723930,0.514833,0.687772,0.776408,0.614789,0.796696,0.709005,0.734049,0.783045,0.595980,0.292046
OASIS_OAS1_0377_MR1,0.640166,0.489073,0.554321,0.704846,0.756048,0.723154,0.612144,0.712809,0.550689,0.555556,0.640506,0.802163,0.642008,0.715737,0.000000,0.676073,0.016380,0.628354,0.454789,0.680981,0.720988,0.762998,0.688978,0.663719,0.660706,0.499754,0.627987,0.747794,0.630599,0.194564
OASIS_OAS1_0382_MR1,0.573694,0.444549,0.354729,0.687923,0.724528,0.711162,0.374846,0.494523,0.394854,0.583556,0.479942,0.865809,0.452235,0.544422,0.000000,0.673018,0.082293,0.616106,0.441831,0.411543,0.637356,0.705680,0.758938,0.257634,0.517168,0.582826,0.584874,0.591671,0.653850,0.189244
OASIS_OAS1_0395_MR1,0.621417,0.481034,0.493960,0.587247,0.680173,0.681067,0.641089,0.711678,0.553475,0.395591,0.355790,0.791770,0.551319,0.498756,0.000000,0.587626,0.136319,0.633305,0.485955,0.517910,0.590927,0.718805,0.771514,0.634406,0.768372,0.692308,0.556881,0.456257,0.589571,0.087866
OASIS_OAS1_0403_MR1,0.679720,0.542800,0.574794,0.731994,0.781261,0.806308,0.759987,0.785564,0.646353,0.536741,0.705162,0.846249,0.759828,0.672450,0.000000,0.694853,0.349885,0.659594,0.490886,0.616677,0.643570,0.730130,0.728286,0.735573,0.691533,0.524614,0.705294,0.667179,0.616453,0.260603
OASIS_OAS1_0408_MR1,0.668323,0.529766,0.568383,0.731467,0.797639,0.777547,0.726458,0.815626,0.699410,0.512374,0.640017,0.872501,0.779771,0.710824,0.000000,0.701513,0.176150,0.664971,0.496006,0.695626,0.781594,0.818673,0.710671,0.730397,0.682140,0.570064,0.703843,0.690386,0.629721,0.325462
OASIS_OAS1_0429_MR1,0.646865,0.474248,0.692613,0.686603,0.763169,0.790497,0.557447,0.777608,0.709449,0.521511,0.691821,0.859821,0.595172,0.584436,0.000000,0.682880,0.207592,0.638086,0.441025,0.735467,0.635917,0.765967,0.733042,0.594595,0.779348,0.656378,0.614501,0.625919,0.606277,0.390619
OASIS_OAS1_0438_MR1,0.662471,0.505615,0.697137,0.724425,0.781889,0.800345,0.716152,0.828531,0.721179,0.649050,0.715020,0.872777,0.590418,0.644318,0.000000,0.703842,0.186220,0.661564,0.493216,0.701440,0.638890,0.777597,0.827050,0.687170,0.826893,0.755288,0.613546,0.702006,0.683780,0.249341
OASIS_OAS1_0444_MR1,0.677445,0.524700,0.583854,0.721494,0.795136,0.776417,0.672688,0.796691,0.693096,0.444358,0.486601,0.810379,0.701703,0.437867,0.000000,0.694578,0.140073,0.651839,0.475886,0.648514,0.765081,0.834839,0.679679,0.743800,0.740262,0.692554,0.604578,0.579078,0.637204,0.211020
MEAN,0.649883,0.495997,0.606222,0.714187,0.775302,0.776253,0.519461,0.726593,0.612106,0.546734,0.604973,0.830173,0.648295,0.630559,0.000000,0.660017,0.181999,0.647172,0.462534,0.605821,0.691456,0.770062,0.763383,0.519775,0.736306,0.646356,0.652802,0.648399,0.646792,0.222460
STD,0.021955,0.027707,0.092963,0.042050,0.038452,0.063823,0.197968,0.089946,0.112381,0.076030,0.105412,0.028204,0.086722,0.090204,0.000000,0.061421,0.091980,0.021557,0.030362,0.096735,0.062129,0.041140,0.055075,0.230834,0.076297,0.089349,0.088466,0.093383,0.046355,0.093570
