subject,Cerebral-WM-L,Cerebral-Ctx-L,Lat-Ventricle-L,Cereb-WM-L,Cereb-Ctx-L,Thalamus-L,Caudate-L,Putamen-L,Pallidum-L,3rd-Ventricle,4th-Ventricle,Brain-Stem,Hippocampus-L,Amygdala-L,CSF,VentralDC-L,Choroid-Plexus-L,Cerebral-WM-R,Cerebral-Ctx-R,Lat-Ventricle-R,Cereb-WM-R,Cereb-Ctx-R,Thalamus-R,Caudate-R,Putamen-R,Pallidum-R,Hippocampus-R,Amygdala-R,VentralDC-R,Choroid-Plexus-R
OASIS_OAS1_0003_MR1,0.641952,0.478926,0.592512,0.698230,0.772007,0.763891,0.312935,0.711459,0.565138,0.572156,0.644860,0.809923,0.488421,0.404880,0.000000,0.629327,0.168113,0.631570,0.436733,0.583007,0.578931,0.751615,0.828691,0.323845,0.709642,0.619184,0.413952,0.443465,0.681753,0.143445
OASIS_OAS1_0011_MR1,0.672766,0.527218,0.698098,0.717928,0.815208,0.803210,0.697320,0.839540,0.701021,0.469434,0.693078,0.829059,0.767794,0.697316,0.000000,0.662622,0.217239,0.673273,0.488228,0.729824,0.691205,0.795735,0.781703,0.782731,0.792210,0.713736,0.789015,0.781728,0.692142,0.287770
OASIS_OAS1_0013_MR1,0.617708,0.453427,0.432832,0.764071,0.779635,0.656077,0.226592,0.645911,0.463434,0.545046,0.737907,0.837631,0.645105,0.723177,0.000000,0.629146,0.055639,0.599217,0.410857,0.373624,0.738038,0.761690,0.629893,0.071749,0.677044,0.549350,0.714633,0.719416,0.607527,0.103668
OASIS_OAS1_0045_MR1,0.648840,0.510191,0.484263,0.738798,0.772629,0.746904,0.660796,0.748139,0.629901,0.513067,0.698328,0.791081,0.678568,0.597814,0.000000,0.632293,0.031873,0.620599,0.458544,0.607702,0.722994,0.762866,0.698776,0.703180,0.640083,0.516096,0.553258,0.619351,0.609385,0.057660
OASIS_OAS1_0047_MR1,0.650296,0.494249,0.694911,0.737145,0.803844,0.795205,0.684452,0.778583,0.721628,0.653305,0.665005,0.847546,0.596181,0.521525,0.000000,0.720685,0.227580,0.651917,0.471101,0.678285,0.720911,0.793179,0.737235,0.672391,0.766664,0.680688,0.693370,0.713155,0.704771,0.059406
OASIS_OAS1_0050_MR1,0.664459,0.519939,0.629622,0.723893,0.826711,0.819998,0.663345,0.696220,0.670438,0.365882,0.668184,0.857164,0.678387,0.618182,0.000000,0.652757,0.193018,0.650729,0.478400,0.684750,0.706482,0.802746,0.740574,0.748946,0.783066,0.626920,0.686139,0.709614,0.615235,0.323963
OASIS_OAS1_0060_MR1,0.675652,0.492033,0.752487,0.754931,0.777497,0.849291,0.567884,0.807411,0.704190,0.637402,0.593061,0.858519,0.639624,0.643796,0.000000,0.693297,0.214149,0.649170,0.446625,0.588411,0.754319,0.812610,0.752569,0.323621,0.763552,0.689488,0.583920,0.638108,0.625695,0.199310
OASIS_OAS1_0073_MR1,0.630250,0.443679,0.492767,0.735940,0.736322,0.749591,0.271061,0.637757,0.581591,0.418125,0.639811,0.764605,0.617994,0.553140,0.000000,0.516835,0.156214,0.581741,0.375608,0.339353,0.641905,0.696178,0.727729,0.062225,0.489000,0.568076,0.599424,0.636032,0.574614,0.105701
OASIS_OAS1_0117_MR1,0.634253,0.505026,0.609845,0.723836,0.795646,0.772761,0.522579,0.787072,0.587368,0.548322,0.422910,0.800295,0.685217,0.711533,0.000000,0.604393,0.106912,0.606534,0.447842,0.505532,0.662401,0.761716,0.789167,0.418364,0.826435,0.733132,0.621506,0.744246,0.679525,0.138810
OASIS_OAS1_0150_MR1,0.641920,0.514101,0.488636,0.753633,0.805741,0.701437,0.500893,0.678898,0.502985,0.490629,0.695508,0.845553,0.748104,0.740585,0.000000,0.678261,0.098603,0.643173,0.488665,0.624851,0.776945,0.845640,0.668702,0.691150,0.698921,0.530027,0.709358,0.687011,0.617662,0.246462
